V,E,Typ,Instance,EK_ms,Dinic_ms
100,200,"Dünn",1,0.006200,0.004800
100,200,"Dünn",2,0.000200,0.001800
100,200,"Dünn",3,0.000600,0.001400
100,200,"Dünn",4,0.002200,0.003200
100,200,"Dünn",5,0.003200,0.005600
100,200,"Dünn",6,0.003400,0.006200
100,200,"Dünn",7,0.003400,0.005400
100,200,"Dünn",8,0.017400,0.021000
100,200,"Dünn",9,0.002000,0.004000
100,200,"Dünn",10,0.002000,0.004000
100,200,"Dünn",11,0.001600,0.002800
100,200,"Dünn",12,0.002600,0.005400
100,200,"Dünn",13,0.002000,0.004200
100,200,"Dünn",14,0.002800,0.001600
100,200,"Dünn",15,0.001400,0.004000
100,200,"Dünn",16,0.001400,0.003600
100,200,"Dünn",17,0.003600,0.004000
100,200,"Dünn",18,0.005000,0.009400
100,200,"Dünn",19,0.007400,0.011600
100,200,"Dünn",20,0.002000,0.003000
100,5000,"Dicht",1,0.988600,0.200400
100,5000,"Dicht",2,1.280200,0.173400
100,5000,"Dicht",3,1.042400,0.214000
100,5000,"Dicht",4,0.927400,0.192800
100,5000,"Dicht",5,1.107200,0.264800
100,5000,"Dicht",6,1.041000,0.314400
100,5000,"Dicht",7,0.852000,0.148600
100,5000,"Dicht",8,0.730200,0.113200
100,5000,"Dicht",9,0.952800,0.183600
100,5000,"Dicht",10,0.978400,0.199600
100,5000,"Dicht",11,1.175800,0.220400
100,5000,"Dicht",12,0.794600,0.164600
100,5000,"Dicht",13,1.005400,0.178200
100,5000,"Dicht",14,0.890600,0.136600
100,5000,"Dicht",15,0.955400,0.180400
100,5000,"Dicht",16,0.909000,0.128400
100,5000,"Dicht",17,0.936200,0.205600
100,5000,"Dicht",18,0.801800,0.131600
100,5000,"Dicht",19,0.922400,0.177400
100,5000,"Dicht",20,0.793400,0.157200
100,500,"Unit-Cap",1,0.008400,0.016200
100,500,"Unit-Cap",2,0.006000,0.012000
100,500,"Unit-Cap",3,0.005600,0.011400
100,500,"Unit-Cap",4,0.008600,0.007400
100,500,"Unit-Cap",5,0.003000,0.008000
100,500,"Unit-Cap",6,0.005200,0.007200
100,500,"Unit-Cap",7,0.008800,0.016200
100,500,"Unit-Cap",8,0.003600,0.004600
100,500,"Unit-Cap",9,0.008800,0.011000
100,500,"Unit-Cap",10,0.004200,0.007800
100,500,"Unit-Cap",11,0.008400,0.011400
100,500,"Unit-Cap",12,0.011000,0.014600
100,500,"Unit-Cap",13,0.007000,0.016000
100,500,"Unit-Cap",14,0.004800,0.009600
100,500,"Unit-Cap",15,0.003600,0.009800
100,500,"Unit-Cap",16,0.015400,0.018200
100,500,"Unit-Cap",17,0.012200,0.018800
100,500,"Unit-Cap",18,0.004600,0.007200
100,500,"Unit-Cap",19,0.013400,0.019400
100,500,"Unit-Cap",20,0.011600,0.022000
200,400,"Dünn",1,0.005000,0.012800
200,400,"Dünn",2,0.008400,0.009600
200,400,"Dünn",3,0.003000,0.002000
200,400,"Dünn",4,0.004600,0.002000
200,400,"Dünn",5,0.010400,0.013200
200,400,"Dünn",6,0.004800,0.008200
200,400,"Dünn",7,0.009000,0.009800
200,400,"Dünn",8,0.000000,0.000000
200,400,"Dünn",9,0.009800,0.012800
200,400,"Dünn",10,0.003800,0.008200
200,400,"Dünn",11,0.002400,0.001800
200,400,"Dünn",12,0.001600,0.002400
200,400,"Dünn",13,0.003000,0.005400
200,400,"Dünn",14,0.008600,0.017800
200,400,"Dünn",15,0.001800,0.002800
200,400,"Dünn",16,0.019800,0.024000
200,400,"Dünn",17,0.002200,0.002400
200,400,"Dünn",18,0.002200,0.001600
200,400,"Dünn",19,0.000000,0.000000
200,400,"Dünn",20,0.000000,0.000000
200,10000,"Dicht",1,1.710600,0.519800
200,10000,"Dicht",2,1.454200,0.498200
200,10000,"Dicht",3,2.084400,0.461400
200,10000,"Dicht",4,1.816600,0.526600
200,10000,"Dicht",5,2.265800,0.385200
200,10000,"Dicht",6,2.147000,0.520400
200,10000,"Dicht",7,2.145000,0.405000
200,10000,"Dicht",8,1.822600,0.453000
200,10000,"Dicht",9,2.194800,0.495800
200,10000,"Dicht",10,1.494000,0.494800
200,10000,"Dicht",11,1.820000,0.580400
200,10000,"Dicht",12,2.199600,0.386400
200,10000,"Dicht",13,1.962600,0.486200
200,10000,"Dicht",14,2.143400,0.488400
200,10000,"Dicht",15,1.963600,0.335600
200,10000,"Dicht",16,2.269400,0.331400
200,10000,"Dicht",17,2.120000,0.391800
200,10000,"Dicht",18,1.818200,0.511600
200,10000,"Dicht",19,1.614600,0.299600
200,10000,"Dicht",20,2.517400,0.496400
200,1000,"Unit-Cap",1,0.004600,0.009400
200,1000,"Unit-Cap",2,0.015200,0.022200
200,1000,"Unit-Cap",3,0.004800,0.008400
200,1000,"Unit-Cap",4,0.015000,0.028400
200,1000,"Unit-Cap",5,0.009400,0.017000
200,1000,"Unit-Cap",6,0.005800,0.040000
200,1000,"Unit-Cap",7,0.009000,0.031600
200,1000,"Unit-Cap",8,0.027800,0.066600
200,1000,"Unit-Cap",9,0.019200,0.030200
200,1000,"Unit-Cap",10,0.017000,0.029800
200,1000,"Unit-Cap",11,0.018600,0.032800
200,1000,"Unit-Cap",12,0.019400,0.059200
200,1000,"Unit-Cap",13,0.023400,0.018400
200,1000,"Unit-Cap",14,0.051000,0.052400
200,1000,"Unit-Cap",15,0.017000,0.033000
200,1000,"Unit-Cap",16,0.022800,0.029400
200,1000,"Unit-Cap",17,0.009000,0.033200
200,1000,"Unit-Cap",18,0.014600,0.007800
200,1000,"Unit-Cap",19,0.004400,0.013600
200,1000,"Unit-Cap",20,0.043800,0.047600
300,600,"Dünn",1,0.006400,0.066200
300,600,"Dünn",2,0.011800,0.003200
300,600,"Dünn",3,0.007600,0.984000
300,600,"Dünn",4,0.005200,0.010600
300,600,"Dünn",5,0.009600,0.033000
300,600,"Dünn",6,0.005600,0.019200
300,600,"Dünn",7,0.007400,0.020000
300,600,"Dünn",8,0.001000,0.011000
300,600,"Dünn",9,0.000000,0.000000
300,600,"Dünn",10,0.003600,0.003200
300,600,"Dünn",11,0.003600,0.003200
300,600,"Dünn",12,0.003600,0.002800
300,600,"Dünn",13,0.003800,0.003200
300,600,"Dünn",14,0.048800,0.029400
300,600,"Dünn",15,0.000000,0.000000
300,600,"Dünn",16,0.000000,0.000000
300,600,"Dünn",17,0.004800,0.010000
300,600,"Dünn",18,0.172800,0.036800
300,600,"Dünn",19,0.004000,0.009200
300,600,"Dünn",20,0.000000,0.000000
300,15000,"Dicht",1,4.609400,0.643400
300,15000,"Dicht",2,3.199600,0.581000
300,15000,"Dicht",3,2.516800,0.727400
300,15000,"Dicht",4,2.887800,0.744400
300,15000,"Dicht",5,2.910400,0.876600
300,15000,"Dicht",6,2.074800,0.543200
300,15000,"Dicht",7,2.819200,0.750800
300,15000,"Dicht",8,2.956400,0.539000
300,15000,"Dicht",9,3.128600,0.752000
300,15000,"Dicht",10,2.088000,0.770200
300,15000,"Dicht",11,2.707600,0.558400
300,15000,"Dicht",12,2.641000,0.527400
300,15000,"Dicht",13,2.441400,1.004800
300,15000,"Dicht",14,2.699600,0.810200
300,15000,"Dicht",15,2.617600,0.553800
300,15000,"Dicht",16,3.130800,0.520800
300,15000,"Dicht",17,3.052400,0.747800
300,15000,"Dicht",18,2.652800,0.406600
300,15000,"Dicht",19,3.036800,0.577400
300,15000,"Dicht",20,3.009600,0.790600
300,1500,"Unit-Cap",1,0.044400,0.079000
300,1500,"Unit-Cap",2,0.021400,0.047200
300,1500,"Unit-Cap",3,0.024800,0.054800
300,1500,"Unit-Cap",4,0.023600,0.034600
300,1500,"Unit-Cap",5,0.004000,0.009200
300,1500,"Unit-Cap",6,0.036600,0.071200
300,1500,"Unit-Cap",7,0.042400,0.072200
300,1500,"Unit-Cap",8,0.015000,0.041400
300,1500,"Unit-Cap",9,0.021600,0.061200
300,1500,"Unit-Cap",10,0.018800,0.075600
300,1500,"Unit-Cap",11,0.032600,0.079800
300,1500,"Unit-Cap",12,0.021400,0.035000
300,1500,"Unit-Cap",13,0.009800,0.037800
300,1500,"Unit-Cap",14,0.034000,0.122200
300,1500,"Unit-Cap",15,0.023400,0.051000
300,1500,"Unit-Cap",16,0.019200,0.037400
300,1500,"Unit-Cap",17,0.028600,0.050600
300,1500,"Unit-Cap",18,0.040600,0.014800
300,1500,"Unit-Cap",19,0.039400,0.081200
300,1500,"Unit-Cap",20,0.011800,0.035400
400,800,"Dünn",1,0.005600,0.004600
400,800,"Dünn",2,0.005200,0.004600
400,800,"Dünn",3,0.000000,0.000000
400,800,"Dünn",4,0.032400,0.037000
400,800,"Dünn",5,0.005400,0.004200
400,800,"Dünn",6,0.010000,0.017200
400,800,"Dünn",7,0.006800,0.014600
400,800,"Dünn",8,0.007000,0.018000
400,800,"Dünn",9,0.006400,0.010000
400,800,"Dünn",10,0.036600,0.052600
400,800,"Dünn",11,0.044800,0.042400
400,800,"Dünn",12,0.004600,0.005600
400,800,"Dünn",13,0.000000,0.000000
400,800,"Dünn",14,0.000000,0.000000
400,800,"Dünn",15,0.008800,0.022800
400,800,"Dünn",16,0.022600,0.028400
400,800,"Dünn",17,0.031600,0.037600
